letter,frequency
12,2
13,2
14,1
15,4
16,3
17,1
18,4
19,1
20,1
21,1
24,2
25,2
26,2
28,2
29,2
30,3
32,2
33,5
34,1
36,1
37,1
38,1
40,5
41,2
42,1
44,2
46,2
49,1
50,5
54,2
56,1
57,1
58,1
59,1
60,1
61,2
63,1
64,2
65,1
66,2
67,2
69,2
74,2
75,1
76,1
78,2
79,1
80,2
81,1
82,1
83,1
84,2
85,2
88,1
89,2
90,1
91,1
92,1
94,2
95,1
96,2
99,1
100,1
101,1
104,1
107,1
108,3
111,1
113,2
116,1
120,1
121,1
122,1
124,1
127,1
131,2
133,1
135,1
137,1
138,1
142,1
145,1
158,1
163,1
164,1
165,1
168,1
173,2
174,1
182,1
183,1
186,1
187,1
189,1
198,1
206,1
207,1
211,1
221,1
222,1
226,2
236,1
247,1
252,1
254,1
264,1
269,1
274,1
327,1
345,1
387,1
466,1
467,1
486,1
546,1
725,1
