Project Name,Checkpoint Name,Created On,FileName,Lines,Statements,BranchStatements,LineswithComments,ClassesDefined,ClassMethodsImplemented,MethodStatements,LineNumberofMostComplexFunction,MaximumComplexity,LineNumberofDeepestBlock,MaximumBlockDepth,AverageBlockDepth,AverageComplexity,Functions,Statementsatblocklevel0,Statementsatblocklevel1,Statementsatblocklevel2,Statementsatblocklevel3,Statementsatblocklevel4,Statementsatblocklevel5,Statementsatblocklevel6,Statementsatblocklevel7,Statementsatblocklevel8,Statementsatblocklevel9
tridameasures,Baseline,04 Apr 2016,DAQ/EM/inc/FileWriter.h,57,20,0,0,1,2,1,25,1,50,2,0.5,1,0,11,8,1,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/EM/inc/ptfile.hpp,61,25,0,2,1,4,4,34,1,36,2,0.84,1,0,8,13,4,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/EM/src/FileWriter.cpp,59,22,5,5,0,1,17,7,6,45,6,2.14,6,0,5,7,1,3,3,1,2,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/EM/src/ptfile.cpp,163,73,7,0,0,4,38,110,6,27,2,1.04,2.29,3,15,40,18,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/EM/src/RunEM.cpp,226,99,17,6,1,1,0,115,11,208,4,1.71,7,2,18,13,49,18,1,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/FCM/inc/datacard_reader.hpp,16,6,0,0,0,0,0,,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/FCM/inc/hit_generator.hpp,40,23,0,0,1,0,0,,0,18,1,0.57,0,0,10,13,0,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/FCM/inc/TimeOfHit.h,33,17,0,1,1,1,1,25,1,27,2,0.71,1,0,6,10,1,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/FCM/src/datacard_reader.cpp,64,27,1,16,0,0,0,8,2,57,2,0.85,2,1,5,21,1,0,0,0,0,0,0,0
tridameasures,Baseline,04 Apr 2016,DAQ/FCM/src/FCMsimu.cpp,252,124,20,1,0,0,0,37,22,235,5,1.65,11.5,2,23,41,32,16,9,3,0,0,0,0
