Class,MethodName,Complexity,Statements,MaximumDepth,Calls
TriggeredEvent,~TriggeredEvent(),1,2,1,0
Subprocess,~Subprocess(),2,2,3,1
StreamReceiver,~StreamReceiver(),2,4,3,3
StateMachine,~StateMachine(),1,1,1,2
SshShellCommandExecutor,~SshShellCommandExecutor(),1,0,0,0
SSHCommandExecutor,~SSHCommandExecutor(),1,0,0,0
SimpleBuffer,~SimpleBuffer(),1,1,1,0
PtFile,~PtFile(),1,1,2,1
Log,~Log(),3,6,3,6
LocalCommandExecutor,~LocalCommandExecutor(),1,0,0,0
libssh2_init_raii,~libssh2_init_raii(),1,1,2,1
EventCollector,~EventCollector(),2,2,2,1
CommandExecutor,~CommandExecutor(),1,0,0,0
BaseState,~BaseState(),1,0,0,0
BaseEvent,~BaseEvent(),1,0,0,0
PMT,z(),1,1,2,0
PMT,z (),1,1,2,0
PMT,y(),1,1,2,0
PMT,y (),1,1,2,0
PMT,x(),1,1,2,0
PMT,x (),1,1,2,0
PtFile,write(),6,16,2,4
,write(),2,7,2,9
Worker,Worker(),1,1,2,1
SimpleObservable,value(),1,1,2,0
RunningAvgObservable,value(),1,1,2,1
AvgObservable,value(),1,1,2,1
Log,UseSyslog(),1,3,2,4
EventCollector,used_trig_events(),1,1,2,0
HitGenerator,updateTimes(),7,21,3,21
Spedizioniere,updateSts(),5,15,4,17
Assemblatore,updateSts(),5,13,3,5
Smistatore,UpdatePMTBufPool(),5,21,3,7
,update_nodes(),3,9,3,11
,update_node(),8,17,4,24
InternalSwParameters,ttsReadyTimeout(),1,1,2,0
InternalSwParameters,ttsReadyTimeout(),1,1,2,0
TTSMessage,TTSMessage(),1,0,0,0
TTSManager,TTSManager(),2,4,2,4
TTSBuild,TTSBuild(),1,1,1,1
TTSAssembler,TTSAssembler(),1,0,0,0
EventCollector,tts_duration(),1,1,2,0
TSV,TSV(),1,0,0,0
Event,tsComplete(),1,1,2,0
TSC,TSC(),1,0,0,0
EventCollector,ts_id(),1,1,2,0
Shell,try_ssh_handshake(),3,13,4,8
Shell,try_send_command(),8,17,4,21
Shell,try_read_reply(),9,23,4,21
Shell,try_create_shell(),3,11,4,6
Shell,try_create_channel(),6,11,4,10
Shell,try_connect(),4,10,3,6
Shell,try_authenticate(),3,13,4,10
,TrigTemplate(),1,3,1,0
TrigSkyAlgo,TrigSkyAlgo(),3,3,3,2
,TrigSky(),1,2,1,4
,TrigScaler(),4,18,3,16
,TrigRandom(),3,12,3,12
TriggerParameters,TriggerParameters(),1,0,0,0
TCPU,triggerParameters(),1,1,2,0
TCPU,triggerParameters(),1,1,2,0
TriggerInterface,TriggerInterface(),6,21,3,25
,triggeredTimeSliceSize(),2,4,2,3
TriggeredEvent,TriggeredEvent(),1,2,1,2
EventCollector,trig_event(),1,2,2,1
TTSMessage,towerTimeSlice(),1,1,2,0
TowerTimeSlice,TowerTimeSlice(),1,1,1,1
DetectorGeometry,towers(),1,1,2,0
DetectorGeometry,towers(),1,1,2,0
Tower,Tower(),1,0,0,0
Tower,Tower(),1,1,2,1
Log,ToSyslog(),1,3,2,1
Log,ToString(),1,3,2,1
,ToString(),4,6,2,2
Log,tmp_stream(),1,1,2,0
TTSMessage,timesliceId(),1,1,2,1
TimeSlice,TimeSlice(),1,1,2,0
TimeSlice,TimeSlice(),2,3,3,5
PMTHit,TimeShift(),1,1,1,1
TimeOfHit,TimeOfHit(),1,0,0,0
PMT,timeOffset(),1,1,2,0
PMT,timeOffset (),1,1,2,0
Monitor,timeInterval(),1,1,2,0
Monitor,timeInterval(),1,1,2,0
Producer,timedSendMore(),2,5,3,2
Producer,timedSend(),2,5,3,2
StreamReceiver,timedRecv(),13,32,5,21
StreamReceiver,timedRecv(),1,2,2,1
Consumer,timedRecv(),2,5,3,2
Consumer,timedRecv(),2,5,3,2
PMTHit,TimeDifference5ns(),1,1,1,1
QueueHandler,timed_get(),3,8,3,6
,time_since_tridas_epoch(),1,3,1,6
PMT,threshold(),1,1,2,0
PMT,threshold (),1,1,2,0
TTSBuild,TestL1(),11,28,4,16
,testDFHSync(),1,1,1,0
,test_update_nodes(),1,27,2,64
,test_NodeState(),1,14,1,51
TcpuEndpoint,TcpuEndpoint(),1,0,0,0
TCPU,TCPU(),1,0,0,0
StreamReceiver,tcpConnect(),3,7,3,4
Producer,tcpConnect(),1,1,2,1
Consumer,tcpConnect(),1,1,2,1
Connection,tcpConnect(),1,2,2,3
Producer,tcpBind(),1,1,2,1
Consumer,tcpBind(),1,1,2,1
Connection,tcpBind(),1,2,2,3
CommandResult,sys_errno(),1,2,2,1
,successful(),1,1,1,3
,subsequent(),1,1,1,0
Worker,subscribe(),1,1,2,1
Subprocess,Subprocess(),3,5,3,4
STSReceiver,STSReceiver(),1,0,0,0
InternalSwParameters,stsReadyTimeout(),1,1,2,0
InternalSwParameters,stsReadyTimeout(),1,1,2,0
InternalSwParameters,stsInMemory(),1,1,2,0
InternalSwParameters,stsInMemory(),1,1,2,0
CommandResult,strerror(),1,2,2,1
StreamReceiver,StreamReceiver(),1,0,0,0
,str2frame(),2,19,2,20
Command,str(),1,1,2,0
TTSMessage,stopSend(),1,3,1,3
TTSMessage,stopReceive(),1,2,1,2
,stopProcesses(),1,3,1,6
StopEvent,StopEvent(),1,0,0,0
TTSMessage,stopCompute(),1,3,1,3
StopCommandGenerator,StopCommandGenerator(),1,0,0,0
StateMachine,stop(),1,2,1,3
FileWriter,stop(),1,1,2,0
EventCollector,stats_for_plugin(),1,2,2,2
StaticMembers,StaticMembers(),1,0,0,0
Log,static_members(),1,2,2,0
StateResponse,StateResponse(),1,0,0,0
StateMachineInfo,StateMachineInfo(),1,0,0,0
StateMachine,StateMachine(),1,1,1,2
StateCommandGenerator,StateCommandGenerator(),1,0,0,0
Event,startTime5ns(),1,1,2,0
TTSMessage,startSend(),1,3,1,3
StartResponse,StartResponse(),1,0,0,0
,startProcesses(),1,3,1,6
TTSMessage,startL2Compute(),1,3,1,3
Node,starting_id(),1,1,2,0
StartEvent,StartEvent(),1,0,0,0
TTSMessage,startCompute(),1,3,1,3
StartCommandGenerator,StartCommandGenerator(),1,0,0,0
StateMachine,start(),1,2,1,3
SshShellCommandExecutor,SshShellCommandExecutor(),1,0,0,0
SSHCommandExecutor,SSHCommandExecutor(),1,0,0,0
Spedizioniere,Spedizioniere(),1,0,0,0
Smistatore,Smistatore(),1,0,0,0
StateResponse,sm_state(),1,1,2,0
StartResponse,sm_state(),1,1,2,0
InitResponse,sm_state(),1,1,2,0
GenericResponse,sm_state(),1,1,2,0
ConfigureResponse,sm_state(),1,1,2,0
SleepRequest,SleepRequest(),1,0,0,0
Tower,size(),1,1,2,1
TimeSlice,size(),1,1,2,0
TcpuEndpoints,size(),1,1,2,1
Scheduler,size(),1,1,1,1
QueueHandler,size(),1,2,2,2
PtFile,size(),1,1,2,0
Plugins,size(),1,1,2,1
HmEndpoints,size(),1,1,2,1
HitGenerator,size(),1,1,1,1
Floor,size(),1,1,2,1
FcmEndpoints,size(),1,1,2,1
Event,size(),1,1,2,0
SimpleObservable,SimpleObservable(),1,4,2,4
SimpleBuffer,SimpleBuffer(),1,0,0,0
,short_host_name(),1,3,1,5
Shell,Shell(),4,9,2,10
TTSBuild,SetTTS(),2,14,2,7
TowerTimeSlice,SetTSID(),1,1,2,0
SectorTimeSlice,SetTSID(),1,1,2,0
TTSBuild,SetStartL1WindowHit(),5,9,3,7
SectorTimeSlice,SetSectorID(),1,1,2,0
Rotation3D,setNewCoordinates(),1,6,1,0
SectorTimeSlice,setHitInfo(),1,3,2,1
SectorTimeSlice,SetHeader(),1,1,2,0
TTSBuild,SetEventCollector(),1,1,2,0
,setDFHYearTime(),1,3,1,6
,setDFHYears(),1,4,1,2
,setDFHFullTime(),1,9,1,20
,setDFHDayTime(),1,6,1,10
,setDFHDayTime(),1,5,1,7
,setDFHDays(),1,5,1,2
EventCollector,set_tts_duration(),1,1,2,0
EventCollector,set_ts_id(),1,1,2,0
EventCollector,set_stats_for_plugin(),1,4,2,4
,set_result(),1,1,1,2
PMTHit,set_previous(),1,1,2,0
PMTHit,set_next(),1,1,2,0
,set_log_verbosity(),1,1,1,1
,SendToTCPU(),2,5,2,10
,sendToMonitoring(),1,3,1,9
TTSMessage,sendTime(),1,2,1,1
TTSManager,SendPluginRateToMonitor(),3,5,3,4
TTSManager,SendEvent(),7,31,3,31
Controller,sendCmd(),1,1,2,2
,SendAllBuffers(),6,16,4,14
MonHandler,send(),1,1,2,3
,send(),3,17,3,20
SectorTimeSlice,SectorTimeSlice(),2,7,2,4
SectorTimeSlice,SectorTimeSlice(),1,5,1,3
Scheduler,Scheduler(),1,0,0,0
Samples,Samples(),1,0,0,0
Samples,Samples(),1,0,0,0
s_mon_queue,s_mon_queue(),1,0,0,0
PtFileReader,runStartTime(),1,1,2,0
PtFileReader,runNumber(),1,1,2,0
RunningAvgObservable,RunningAvgObservable(),1,4,2,4
InitResponse,run_setup(),1,1,2,0
InitEvent,run_setup(),1,1,2,0
TrigSkyAlgo,run(),10,30,6,20
,roySerialize(),1,3,1,3
Rotation3D,Rotation3D(),4,34,4,9
,role_summary(),2,5,2,11
Node,role(),1,1,2,0
Shell,retry_when_ready(),3,6,3,7
,retrieve_run_number(),11,26,6,20
,retrieve_configuration(),6,6,2,11
HitGenerator,resetTimes(),2,2,2,2
ResetEvent,ResetEvent(),1,0,0,0
TriggeredEvent,Reset(),4,14,2,0
TowerTimeSlice,Reset(),2,3,2,1
StateMachine,reset(),1,2,1,3
Shell,reset(),1,8,1,7
SectorTimeSlice,Reset(),6,12,3,1
EventCollector,reset(),3,7,2,3
RequestDispatcher,RequestDispatcher(),1,0,0,0
SimpleObservable,representation(),1,1,2,0
RunningAvgObservable,representation(),1,1,2,0
AvgObservable,representation(),1,1,2,0
Command,reply_delimiter(),1,1,2,0
Scheduler,removeDoneTS(),1,6,1,7
,remove_endpoint(),1,2,1,3
Shell,release_reply(),1,3,1,1
Worker,recvCmd(),1,3,2,2
,reconnect(),2,5,2,11
,receive_callback(),1,2,1,2
,receive(),1,3,1,7
,readNodeMap(),1,6,1,8
,readHeader(),2,5,3,6
,readDatacard(),1,4,2,8
,ReadDataCard(),9,24,3,30
,read_tsv_nodes(),2,9,2,7
,read_tcpu_nodes(),3,12,3,13
,read_sim_header(),3,9,3,7
,read_samples(),2,7,3,7
,read_metadata(),6,14,4,14
,read_item(),1,5,1,7
,read_hm_nodes(),3,12,3,13
,read_em_nodes(),2,9,2,7
QueueHandler,QueueHandler(),1,0,0,0
SimpleBuffer,PutStartWrite(),1,1,2,1
SimpleObservable,put(),1,5,2,2
RunningAvgObservable,put(),1,4,2,4
QueueHandler,put(),1,3,2,3
AvgObservable,put(),1,4,2,4
Shell,public_key_hash(),3,9,2,6
,ptFileRunningFileName(),3,8,2,13
PtFileReader,PtFileReader(),3,9,3,12
EM,ptFilePrefix(),1,1,2,0
EM,ptFilePrefix(),1,1,2,0
EM,ptFilePostfix(),1,1,2,0
EM,ptFilePostfix(),1,1,2,0
PtFile,PtFile(),2,12,2,5
Producer,Producer(),1,0,0,0
TTSBuild,PrintList(),2,4,2,1
PMTHit,previous(),1,1,2,0
PMTHit,previous(),1,1,2,0
CommandGenerator,prepareStopCommands(),1,3,1,1
CommandGenerator,prepareStateCommands(),1,3,1,1
CommandGenerator,prepareStartCommands(),1,3,1,1
Position,Position(),1,0,0,0
Shell,port(),1,1,1,0
FcmEndpoint,port(),1,1,2,0
FcmEndpoint,port(),1,1,2,0
PopenFailed,PopenFailed(),1,0,0,0
,popen_execute_impl(),5,14,3,18
,popen_execute(),3,7,2,6
DetectorGeometry,pmts(),1,1,2,0
DetectorGeometry,pmts(),1,1,2,0
PmtNumbers,PmtNumbers(),1,0,0,0
PMTInfo,PMTInfo(),1,0,0,0
PmtId,PmtId(),1,0,0,0
PMTHit,PMTHit(),2,15,1,12
PMTHit,PMTHit(),1,0,0,0
InternalSwParameters,pmtBufferSize(),1,1,2,0
InternalSwParameters,pmtBufferSize(),1,1,2,0
PMT,PMT(),1,0,0,0
PMT,PMT(),1,1,2,1
TCPU,plugins(),1,1,2,0
TCPU,plugins(),1,1,2,0
TCPU,pluginDir(),1,1,2,0
TCPU,pluginDir(),1,1,2,0
Event,plugin_trigtype(),1,2,2,1
Event,plugin_nseeds(),1,2,2,1
EventCollector,plugin_events(),3,6,3,1
Plugin,Plugin(),1,0,0,0
TTSAssembler,pendingTts(),1,1,2,1
PMT,pedestal(),1,1,2,0
PMT,pedestal (),1,1,2,0
PcloseFailed,PcloseFailed(),1,0,0,0
,parseSamples(),4,9,3,8
,parseGeometry(),7,31,4,20
,parseData(),6,12,3,11
,parse_request(),15,30,5,30
,parse_event(),8,18,3,17
,parse_event(),7,17,3,18
,parse_event(),6,15,3,15
,parse_buffer(),3,10,3,9
Smistatore,parse(),7,19,4,13
NodeState,parse(),4,12,4,8
Plugin,parameters(),1,1,2,0
TCPU,parallelTts(),1,1,2,0
TCPU,parallelTts(),1,1,2,0
,pad_number(),1,3,1,3
TimeOfHit,overflow(),1,1,2,0
CommandResult,output(),1,2,2,1
,operator==(),1,1,1,0
,operator<<(),1,1,1,0
,operator<<(),5,11,2,9
,operator<<(),1,1,1,0
,operator<<(),1,1,1,2
,operator<<(),1,2,1,7
TTSManager,operator(),6,35,4,42
TriggerInterface,operator(),7,53,4,55
STSReceiver,operator(),11,36,5,28
StopCommandGenerator,operator(),1,3,3,4
StateCommandGenerator,operator(),1,3,3,4
StartCommandGenerator,operator(),4,7,4,9
start_transition,operator(),2,14,3,13
SshShellCommandExecutor,operator(),12,38,3,42
SshShellCommandExecutor,operator(),1,5,1,3
SSHCommandExecutor,operator(),1,4,1,4
SSHCommandExecutor,operator(),3,5,1,10
Spedizioniere,operator(),17,44,6,36
Smistatore,operator(),16,44,7,33
Smistatore,operator(),11,36,6,25
ResponseMaker,operator(),1,3,2,2
ResponseMaker,operator(),1,4,2,10
ResponseMaker,operator(),1,3,2,6
ResponseMaker,operator(),1,3,2,3
ResponseMaker,operator(),1,3,2,2
RequestDispatcher,operator(),1,1,2,0
RequestDispatcher,operator(),1,1,2,2
RequestDispatcher,operator(),1,2,2,3
RequestDispatcher,operator(),1,2,2,3
RequestDispatcher,operator(),1,2,2,3
RequestDispatcher,operator(),1,2,2,3
RequestDispatcher,operator(),1,2,2,3
RequestDispatcher,operator(),1,2,2,3
Plus,operator(),1,1,2,3
NodeRoleNotEqual,operator(),1,1,2,1
LocalCommandExecutor,operator(),1,4,1,4
LocalCommandExecutor,operator(),3,4,1,3
init_transition,operator(),3,14,3,10
FileWriter,operator(),6,17,6,15
configure_transition,operator(),4,33,3,32
Assemblatore,operator(),13,47,6,42
Tower,operator [](),2,4,3,3
Tower,operator [](),2,4,3,3
TimeSlice,operator [](),1,1,2,0
TimeSlice,operator [](),1,1,2,0
TcpuEndpoints,operator [](),1,1,2,0
TcpuEndpoints,operator [](),1,1,2,0
PtFileReader,operator [](),1,3,2,3
Plugins,operator [](),1,1,2,0
Plugins,operator [](),1,1,2,0
HmEndpoints,operator [](),1,1,2,0
HmEndpoints,operator [](),1,1,2,0
Hit,operator [](),1,1,2,0
Hit,operator [](),1,1,2,0
Floor,operator [](),2,4,3,3
Floor,operator [](),2,4,3,3
FcmEndpoints,operator [](),1,1,2,0
FcmEndpoints,operator [](),1,1,2,0
Event,operator [](),1,1,2,0
Event,operator [](),1,1,2,0
iterator,operator ==(),1,1,3,0
const_iterator,operator ==(),1,1,3,0
,operator ==(),1,1,1,5
,operator ==(),1,1,1,3
,operator ==(),1,1,1,5
,operator ==(),1,1,1,3
,operator ==(),1,1,1,3
MonStreamer,operator <<(),1,2,2,1
,operator <<(),1,1,1,0
,operator <<(),1,1,1,0
,operator <<(),1,1,1,0
,operator <<(),1,1,1,5
,operator <<(),1,19,1,4
iterator,operator --(),1,2,3,0
iterator,operator --(),1,3,3,1
const_iterator,operator --(),1,2,3,0
const_iterator,operator --(),1,3,3,1
iterator,operator ++(),1,2,3,0
iterator,operator ++(),1,3,3,1
const_iterator,operator ++(),1,2,3,0
const_iterator,operator ++(),1,3,3,1
PmtNumbers,operator (),1,3,2,0
PmtId,operator (),1,2,2,1
PtFile,openNewFile(),1,6,1,9
Shell,on_timeout(),2,2,2,1
Running,on_exit(),2,8,6,4
Ready,on_exit(),1,1,5,0
Initiated_,on_exit(),1,3,3,3
Configured_,on_exit(),7,17,5,7
Running,on_entry(),1,2,5,2
Ready,on_entry(),1,1,5,0
Initiated_,on_entry(),1,3,3,6
Configured_,on_entry(),1,5,4,5
PtFile,numberOfEvents(),1,1,2,0
PtFileReader,nTS(),1,1,2,0
Event,nseeds(),1,2,2,1
,Now(),1,5,1,3
,not_successful(),1,1,1,2
NodeState,NodeState(),1,0,0,0
NodeState,NodeState(),1,0,0,0
NodeRoleNotEqual,NodeRoleNotEqual(),1,0,0,0
,node_summary(),1,9,1,10
,node_map_makes_sense(),1,1,1,5
Node,Node(),1,0,0,0
TridasSM_,no_transition(),1,1,2,2
Initiated_,no_transition(),1,1,3,2
Configured_,no_transition(),1,1,4,2
Event,nHit(),1,1,2,0
Hit,nFrames(),1,1,2,1
PMTHit,next(),1,1,2,0
PMTHit,next(),1,1,2,0
TimeSlice,nEvents(),1,1,2,0
PtFileReader,nEvents(),1,1,2,0
EM,networkThreads(),1,1,2,0
EM,networkThreads(),1,1,2,0
TridasSM_,name(),1,1,2,0
StopEvent,name(),1,1,2,0
StartEvent,name(),1,1,2,0
Standby,name(),1,1,4,0
Running,name(),1,1,5,0
ResetEvent,name(),1,1,2,0
Ready,name(),1,1,5,0
QueueHandler,name(),1,1,2,0
Plugin,name(),1,1,2,0
Initiated_,name(),1,1,3,0
InitialEvent,name(),1,1,2,0
InitEvent,name(),1,1,2,0
Idle,name(),1,1,3,0
FinalEvent,name(),1,1,2,0
ConfigureEvent,name(),1,1,2,0
Configured_,name(),1,1,4,0
BaseState,name(),1,1,2,0
Node,n_running_instances(),1,1,2,0
Node,n_running_instances(),1,1,2,0
Node,n_instances(),1,1,2,0
Consumer,more(),1,4,2,2
MonStreamer,MonStreamer(),1,0,0,0
MonStreamer,MonStreamer(),1,0,0,0
std,monitor(),1,2,2,4
Monitor,Monitor(),1,0,0,0
MonHandler,MonHandler(),1,1,2,2
SimpleBuffer,MemMove(),1,4,2,2
,measSpread(),10,20,5,14
,makeNodeMap(),1,16,1,20
,make_tsv(),1,1,1,2
,make_tsc(),1,1,1,2
,make_trigger_parameters(),1,1,1,11
,make_tower(),3,9,2,11
,make_tcpu_endpoints(),2,6,2,7
,make_tcpu_endpoint(),1,1,1,3
,make_tcpu(),1,1,1,11
CommandResult,make_successful_result(),1,1,2,1
,make_sts_header(),3,19,2,6
,make_run_number_filename(),3,10,3,9
,make_response(),1,3,1,4
,make_response(),1,1,1,1
,make_pmt(),1,2,1,12
,make_plugins(),2,5,2,5
,make_plugin(),1,1,1,4
,make_offline_datacard(),2,24,2,31
,make_node(),1,1,1,2
,make_node(),1,1,1,2
,make_monitor(),1,1,1,4
,make_internal_sw_parameters(),1,1,1,7
CommandResult,make_internal_error_result(),1,1,2,1
,make_hm_endpoints(),2,6,2,7
,make_hm_endpoint(),1,1,1,3
,make_hm(),1,1,1,7
,make_floor(),2,5,2,8
,make_fcm_endpoints(),2,6,2,7
,make_fcm_endpoint(),1,1,1,3
,make_endpoint(),1,3,1,7
,make_em(),1,1,1,6
,make_dfh(),1,10,1,3
